,1000,False
2939316,667,False
2939317,647,False
2939318,602,False
2939319,598,False
2939321,433,False
2939322,430,False
2939323,424,False
2939324,330,False
2939325,312,False
2939326,288,False
2939327,247,False
2939328,194,False
2939333,109,False
2939337,58,False
2986836,845,False
2986845,803,False
2986846,737,False
2986848,548,False
2986849,494,False
2986850,483,False
2986853,435,False
2986855,371,False
2986856,313,False
2986857,292,False
2986858,160,False
2986863,53,False
3063643,426,False
3063644,271,False
3063645,224,False
3063646,181,False
3063647,152,False
3063656,77,False
3063657,49,False
3063661,12,False
3140572,995,False
3140573,984,False
3140574,966,False
3140576,916,False
3140580,812,False
3140584,780,False
3140586,635,False
3140588,572,False
3140589,525,False
3140592,461,False
3140596,262,False
3192386,906,False
3192388,422,False
3192389,212,False
3192390,188,False
3192391,179,False
3192392,163,False
3192395,129,False
3192399,99,False
3192407,7,False
3268115,947,False
3268116,895,False
3268120,787,False
3268121,739,False
3268122,611,False
3268123,532,False
3268124,469,False
3268125,439,False
3268126,402,False
3268128,126,False
3268134,45,False
3345431,972,False
3345432,839,False
3345437,735,False
3345440,564,False
3345441,447,False
3345442,394,False
3345444,214,False
3345445,162,False
3345448,127,False
3389255,740,False
3389256,531,False
3389257,460,False
3389258,455,False
3389270,9,False
3467042,971,False
3467043,918,False
3467044,840,False
3467049,796,False
3467050,734,False
3467052,680,False
3467053,632,False
3467055,464,False
3467057,215,False
3467058,161,False
3467059,128,False
3467065,117,False
3467069,21,False
3467070,8,False
3542893,750,False
3542894,697,False
3542895,652,False
3542896,321,False
3542897,236,False
3542898,207,False
3542904,110,False
3542909,85,False
3626449,753,False
3626450,711,False
3626451,703,False
3626452,599,False
3626454,273,False
3626455,166,False
3626465,44,False
3703765,949,False
3703766,938,False
3703767,907,False
3703768,888,False
3703774,798,False
3703775,664,False
3703776,650,False
3703777,612,False
3703778,555,False
3703779,514,False
3703780,474,False
3703781,471,False
3703782,403,False
3703784,396,False
3703785,365,False
3703786,348,False
3703787,319,False
3703788,301,False
3703789,282,False
3703790,190,False
3703791,155,False
3703799,69,False
3777923,200,False
3777924,144,False
3777929,92,False
3777933,34,False
3854737,894,False
3854738,860,False
3854739,741,False
3854745,383,False
3854749,79,False
3854750,68,False
3854752,52,False
3854754,39,False
3932151,934,False
3932152,841,False
3932154,830,False
3932157,817,False
3932164,538,False
3932165,407,False
3932166,377,False
3932167,309,False
3932168,265,False
3932169,217,False
3932170,171,False
3932175,115,False
3932176,90,False
3932179,3,False
3992678,852,False
3992681,767,False
3992683,529,False
3992684,481,False
3992693,15,False
4069840,979,False
4069844,795,False
4069845,761,False
4069846,731,False
4069847,721,False
4069848,693,False
4069850,644,False
4069851,630,False
4069852,567,False
4069853,489,False
4069854,434,False
4069855,428,False
4069858,390,False
4069859,316,False
4069860,230,False
4069867,107,False
4146430,902,False
4146431,859,False
4146432,743,False
4146434,485,False
4146440,66,False
4146443,38,False
4146448,22,False
4203409,978,False
4203413,794,False
4203414,771,False
4203416,730,False
4203417,722,False
4203418,692,False
4203419,656,False
4203420,629,False
4203421,566,False
4203422,490,False
4203424,457,False
4203425,448,False
4203430,391,False
4203432,231,False
4280089,662,False
4280090,204,False
4280091,187,False
4280092,147,False
4280093,139,False
4280101,81,False
4280103,14,False
4353470,981,False
4353471,856,False
4353474,487,False
4353475,388,False
4353487,18,False
4430204,939,False
4430205,933,False
4430207,882,False
4430208,866,False
4430212,670,False
4430214,604,False
4430215,594,False
4430216,580,False
4430217,497,False
4430221,415,False
4430222,326,False
4430223,253,False
4430224,243,False
4430225,225,False
4430231,61,False
4506625,889,False
4506626,878,False
4506628,823,False
4506631,799,False
4506633,745,False
4506634,728,False
4506635,509,False
4506636,500,False
4506637,437,False
4506642,70,False
4589792,996,False
4589793,985,False
4589794,965,False
4589796,917,False
4589803,781,False
4589805,624,False
4589806,571,False
4589807,561,False
4589808,526,False
4589813,418,False
4589815,261,False
4589824,40,False
4666314,950,False
4666318,665,False
4666319,651,False
4666320,639,False
4666321,613,False
4666322,554,False
4666323,472,False
4666325,364,False
4666326,335,False
4666327,320,False
4666328,300,False
4666329,191,False
4666330,156,False
4666338,84,False
4743809,747,False
4743810,736,False
4743811,655,False
4743812,631,False
4743813,546,False
4743815,441,False
4743819,369,False
4743820,315,False
4743821,290,False
4743822,213,False
4751641,948,False
4751642,935,False
4751645,809,False
4751647,785,False
4751648,778,False
4751650,641,False
4751651,586,False
4751652,524,False
4751653,470,False
4751654,465,False
4751656,423,False
4751658,350,False
4751659,337,False
4751660,283,False
4751661,248,False
4751662,189,False
4751665,123,False
4751677,26,False
4827368,715,False
4827369,634,False
4827370,177,False
4903893,880,False
4903894,861,False
4903896,507,False
4903899,385,False
4903902,80,False
4951606,820,False
4951608,758,False
4951609,716,False
4951611,633,False
4951612,575,False
4951614,176,False
4951622,41,False
4951625,6,False
5027584,881,False
5027586,810,False
5027588,744,False
5027589,517,False
5027590,508,False
5027593,462,False
5027594,384,False
5027595,122,False
5027600,65,False
5104771,951,False
5104772,871,False
5104775,674,False
5104776,642,False
5104777,618,False
5104778,607,False
5104780,476,False
5104781,399,False
5104782,344,False
5104783,341,False
5104784,279,False
5104788,124,False
5104797,46,False
5104801,30,False
5195679,853,False
5195684,768,False
5195685,528,False
5195686,482,False
5195701,17,False
5273752,975,False
5273753,910,False
5273754,824,False
5273758,723,False
5273759,695,False
5273761,638,False
5273762,627,False
5273764,519,False
5273765,431,False
5273766,419,False
5273768,334,False
5273769,228,False
5273775,108,False
5375635,765,False
5375636,748,False
5375640,270,False
5375641,223,False
5375642,182,False
5375643,153,False
5452795,994,False
5452796,954,False
5452799,867,False
5452800,849,False
5452804,802,False
5452805,682,False
5452806,653,False
5452808,610,False
5452809,590,False
5452810,493,False
5452811,478,False
5452813,468,False
5452814,466,False
5452817,438,False
5452818,417,False
5452820,338,False
5452821,323,False
5452822,252,False
5452823,158,False
5529493,980,False
5529494,959,False
5529495,876,False
5529497,831,False
5529501,775,False
5529502,677,False
5529503,658,False
5529504,615,False
5529505,544,False
5529507,492,False
5529509,368,False
5529510,318,False
5529511,226,False
5529521,1,False
5544412,983,False
5544413,964,False
5544414,927,False
5544415,919,False
5544416,915,False
5544421,779,False
5544422,762,False
5544424,676,False
5544425,623,False
5544426,573,False
5544428,515,False
5544432,263,False
5621038,826,False
5621043,701,False
5621047,198,False
5621048,175,False
5621049,143,False
5621050,120,False
5697677,988,False
5697678,943,False
5697679,885,False
5697680,836,False
5697686,788,False
5697687,685,False
5697688,649,False
5697689,601,False
5697690,583,False
5697691,558,False
5697692,521,False
5697693,516,False
5697694,511,False
5697695,459,False
5697696,446,False
5697698,354,False
5697700,305,False
5697701,257,False
5697710,57,False
5697717,29,False
5809047,843,False
5809051,822,False
5809052,818,False
5809058,591,False
5809059,537,False
5809060,454,False
5809061,452,False
5809062,375,False
5809063,311,False
5809064,293,False
5809065,240,False
5809066,218,False
5809067,174,False
5809072,48,False
5809073,42,False
5809074,5,False
5885736,909,False
5885740,712,False
5885742,669,False
5885744,274,False
5885745,164,False
5885747,130,False
6002449,661,False
6002450,427,False
6002451,203,False
6002452,184,False
6002453,148,False
6002454,138,False
6079631,968,False
6079632,926,False
6079642,714,False
6079644,579,False
6079645,551,False
6079646,535,False
6079647,405,False
6079649,373,False
6079650,361,False
6079651,295,False
6079652,269,False
6079656,111,False
6164157,813,False
6164160,717,False
6164161,699,False
6164162,660,False
6164163,289,False
6164164,239,False
6164165,202,False
6164166,140,False
6164169,114,False
6164171,98,False
6239909,890,False
6239910,862,False
